dataset_id,dataset_name,best_algorithm,score_LogisticRegression,score_RandomForest,score_KNN
2,anneal,RandomForest,0.45577449097195555,0.7598211396973459,0.5153154855133342
5,arrhythmia,LogisticRegression,0.0,0.0,0.0
10,lymph,LogisticRegression,0.5359952793076318,0.5324711513244165,0.4562245934959349
11,balance-scale,LogisticRegression,0.6295220810647308,0.5983867715265174,0.6151482153660013
12,mfeat-factors,LogisticRegression,0.0,0.0,0.0
14,mfeat-fourier,LogisticRegression,0.0,0.0,0.0
15,breast-w,KNN,0.9635484355870443,0.9729301592303624,0.9753983022913812
16,mfeat-karhunen,LogisticRegression,0.0,0.0,0.0
18,mfeat-morphological,LogisticRegression,0.0,0.0,0.0
20,mfeat-pixel,LogisticRegression,0.0,0.0,0.0
22,mfeat-zernike,LogisticRegression,0.0,0.0,0.0
23,cmc,LogisticRegression,0.0,0.0,0.0
27,colic,LogisticRegression,0.5,0.5,0.5
28,optdigits,KNN,0.9715478493824923,0.9846998946886405,0.9869990584180959
29,credit-approval,RandomForest,0.7525078909882718,0.755210049845527,0.68040914957214
30,page-blocks,LogisticRegression,0.0,0.0,0.0
31,credit-g,RandomForest,0.5464285714285714,0.5773809523809523,0.5171428571428571
35,dermatology,LogisticRegression,0.0,0.0,0.0
36,segment,RandomForest,0.9320346320346321,0.9792207792207792,0.9402597402597402
37,diabetes,RandomForest,0.7275345911949685,0.7303494060097834,0.6528169112508735
38,sick,RandomForest,0.7625729401396353,0.9141389287904804,0.5513828235750146
39,ecoli,LogisticRegression,0.6482244280859404,0.617239856041065,0.6027227587163051
40,sonar,RandomForest,0.7765924693155813,0.8234886623673809,0.7850904930309964
41,glass,RandomForest,0.5509722222222222,0.7434126984126983,0.572123015873016
43,haberman,LogisticRegression,0.0,0.0,0.0
44,spambase,RandomForest,0.9182476120244232,0.9492398027573241,0.7944157276550626
48,tae,LogisticRegression,0.0,0.0,0.0
49,heart-c,LogisticRegression,0.7664457070707071,0.6962061087061087,0.6402492183742183
53,heart-statlog,LogisticRegression,0.8324999999999999,0.7983333333333333,0.6291666666666667
54,vehicle,LogisticRegression,0.7896014547468037,0.7354344879926276,0.6589286101495404
55,hepatitis,RandomForest,0.5888278388278387,0.6846153846153846,0.5108058608058609
57,hypothyroid,LogisticRegression,0.0,0.0,0.0
59,ionosphere,RandomForest,0.8508376068376068,0.9226837606837606,0.7822735042735042
60,waveform-5000,LogisticRegression,0.8652325192630681,0.8491503377238171,0.8090559161472026
61,iris,KNN,0.9533333333333334,0.9466666666666667,0.9666666666666666
62,zoo,LogisticRegression,0.875,0.875,0.7911255411255411
181,yeast,KNN,0.5276663046483375,0.5410620486876951,0.5517850830892843
182,satimage,RandomForest,0.8110183186295332,0.8902151382352281,0.8881549147205415
183,abalone,LogisticRegression,0.0,0.0,0.0
185,baseball,RandomForest,0.6122424077549601,0.6338275415890479,0.5867593842698445
186,braziltourism,LogisticRegression,0.0,0.0,0.0
187,wine,LogisticRegression,0.0,0.0,0.0
188,eucalyptus,RandomForest,0.6002022718402692,0.6188702069005021,0.37121095994292397
285,flags,RandomForest,0.12222222222222223,0.24015376984126988,0.14947916666666666
307,vowel,RandomForest,0.6585858585858586,0.9505050505050505,0.9292929292929293
312,scene,LogisticRegression,0.948040319141595,0.7549727108774138,0.9369685803657969
313,spectrometer,LogisticRegression,0.0,0.0,0.0
316,yeast_ml8,LogisticRegression,0.5233250532917569,0.5,0.49979035639413
327,bridges,RandomForest,0.4305555555555555,0.4488888888888889,0.3183333333333333
329,hayes-roth,LogisticRegression,0.0,0.0,0.0
333,monks-problems-1,RandomForest,0.6635714285714285,1.0,0.9460714285714286
334,monks-problems-2,RandomForest,0.4873417721518988,0.9073641188491453,0.520397241947103
335,monks-problems-3,RandomForest,0.7530960796772528,0.978334417696812,0.9733246584255042
336,SPECT,LogisticRegression,0.6959528843249773,0.6823114869626498,0.6607822410147991
337,SPECTF,RandomForest,0.7659938080495357,0.8711289989680082,0.711422084623323
338,grub-damage,RandomForest,0.29277777777777775,0.34125,0.32361111111111107
373,UNIX_user_data,LogisticRegression,0.16993065239552632,0.0607963492444795,0.09641538385168166
375,JapaneseVowels,LogisticRegression,0.0,0.0,0.0
377,synthetic_control,LogisticRegression,0.9883333333333333,0.9833333333333334,0.9866666666666667
446,prnn_crabs,LogisticRegression,0.985,0.9549999999999998,0.9400000000000001
449,analcatdata_homerun,RandomForest,0.25404977375565607,0.279000754147813,0.26495852187028657
450,analcatdata_lawsuit,RandomForest,0.7709183673469389,0.9459183673469388,0.8959183673469389
451,irish,LogisticRegression,0.7055060779501323,0.6369092623041723,0.6427910432408018
452,analcatdata_broadwaymult,RandomForest,0.14013605442176869,0.17318491032776745,0.1631416202844774
454,analcatdata_halloffame,RandomForest,0.6122424077549601,0.6338275415890479,0.5867593842698445
455,cars,LogisticRegression,0.0,0.0,0.0
458,analcatdata_authorship,LogisticRegression,0.9983050847457626,0.990702351144618,0.9905180627399908
461,analcatdata_creditscore,RandomForest,0.7423809523809525,0.9933333333333334,0.9728571428571428
463,backache,KNN,0.5516129032258064,0.4967741935483871,0.5535483870967742
464,prnn_synth,LogisticRegression,0.852,0.836,0.8480000000000001
466,schizo,KNN,0.5531818181818182,0.594848484848485,0.7912121212121213
470,profb,RandomForest,0.5570599250936329,0.5837912836227442,0.5459261150834184
474,analcatdata_marketing,LogisticRegression,0.0,0.0,0.0
475,analcatdata_germangss,LogisticRegression,0.4125,0.37750000000000006,0.345
481,biomed,RandomForest,0.8683736263736265,0.879912087912088,0.7292307692307691
